index,essayId,actualScore,openAIPredictedScore,scoreOffset
0,44eff2d,3,3,0
1,5fb1682,3,3,0
2,0a919e5,3,4,1
3,74b3cad,2,2,0
4,30d2268,3,2,-1
5,45dcd48,3,2,-1
6,10db454,2,2,0
7,edd052e,1,2,1
8,87a9020,1,4,3
9,6128748,3,4,1
10,d00eb06,2,2,0
11,2e4ce3b,4,3,-1
12,e3aad5f,1,3,2
13,df59066,4,3,-1
14,fb7c7a9,5,4,-1
15,c8c7f71,1,3,2
16,c69b9c3,4,5,1
17,d4d3041,4,3,-1
18,4d8fe01,2,3,1
19,a356c7c,4,4,0
20,fec54e7,5,4,-1
21,7b92a70,3,3,0
22,2dd6f1d,2,2,0
23,b5af145,3,3,0
24,2a4b0b5,3,4,1
25,01711c3,3,2,-1
26,37c0154,4,3,-1
27,c84f8c1,2,2,0
28,9b46cdb,5,4,-1
29,799dcff,4,4,0
30,781b2d3,3,4,1
31,2606925,2,3,1
32,903c321,3,3,0
33,42ff84e,4,5,1
34,f124a38,3,4,1
35,b43185d,3,3,0
36,43b4de2,5,4,-1
37,251aefe,3,3,0
38,1926426,4,3,-1
39,40403c9,5,5,0
40,fe2a9ca,3,2,-1
41,022b620,2,3,1
42,09fc519,4,5,1
43,1215ca0,4,3,-1
44,9fbda7e,3,3,0
45,f705868,4,3,-1
46,9f4696c,4,3,-1
47,fd58f1e,4,4,0
48,e4d23d9,3,5,2
49,bcec1b9,4,5,1
50,1585281,2,2,0
51,0269b85,3,2,-1
52,c04225a,3,2,-1
53,762cf74,4,3,-1
54,e32b3f7,3,3,0
55,b649349,1,2,1
56,3112774,3,3,0
57,96880be,3,3,0
58,7354440,2,4,2
59,3be8782,4,4,0
60,97e89ad,3,3,0
61,f949f3c,4,4,0
62,c6a49f8,4,3,-1
63,f6ae317,2,3,1
64,5fcd46c,4,4,0
65,37ae74c,3,3,0
66,68c3908,3,3,0
67,3d0cbc9,4,3,-1
68,34e8646,3,2,-1
69,913c55c,2,3,1
70,71154c1,3,4,1
71,0aaf5f1,1,2,1
72,be0bf59,3,3,0
73,28229c3,4,3,-1
74,65c8c94,3,4,1
75,8b61136,4,3,-1
76,6e59238,2,3,1
77,ac3fdcc,2,3,1
78,53c32da,3,3,0
79,04defeb,2,3,1
80,1ced533,2,3,1
81,37c61d1,1,3,2
82,754265b,1,3,2
83,9db3db7,3,3,0
84,10a41ed,2,2,0
85,7bf387d,2,3,1
86,7c4d4fa,5,4,-1
87,81f7222,2,2,0
88,d7af7ab,5,4,-1
89,efd7312,3,4,1
90,ab4d119,6,3,-3
91,1750767,5,4,-1
92,97d7afa,1,3,2
93,ca986e1,4,4,0
94,637b998,4,3,-1
95,bdea510,2,2,0
96,a347f11,3,2,-1
97,c1a0bd9,3,3,0
98,9d4a923,5,4,-1
99,a395c34,4,3,-1
100,11f89ce,3,3,0
101,0b488e9,3,2,-1
102,c91aaf0,2,3,1
103,9168693,3,3,0
104,dcb2321,2,3,1
105,3e285b1,2,3,1
106,d8b7938,2,3,1
107,f166cf1,4,3,-1
108,62e810c,5,3,-2
109,928d593,3,2,-1
110,df662b3,4,4,0
111,90c8486,2,3,1
112,fe8214b,2,2,0
113,e214a1e,4,4,0
114,6b1490f,3,3,0
115,474d602,3,3,0
116,b0be550,4,2,-2
117,a3aa340,4,4,0
118,b9a5928,4,3,-1
119,0c63220,3,3,0
120,dc13e1b,2,3,1
121,2515e4d,4,4,0
122,249867d,3,2,-1
123,814c6b5,4,4,0
124,bef3e2c,2,2,0
125,d031d7a,4,2,-2
126,678af37,3,4,1
127,a097c8b,2,4,2
128,7341159,2,4,2
129,786771d,2,2,0
130,a698bb4,3,4,1
131,11c1664,4,4,0
132,6583a7e,3,3,0
133,c5ffba9,4,3,-1
134,f7de906,5,5,0
135,b2e51f4,2,2,0
136,7ff0200,3,3,0
137,68427ee,3,4,1
138,1d21cf1,4,4,0
139,88165e1,3,3,0
140,03237a6,3,3,0
141,03314fd,3,4,1
142,0d67d1f,3,3,0
143,c8019ba,2,2,0
144,7a1fe31,3,4,1
145,7148891,3,2,-1
146,b575740,3,3,0
147,9652adf,5,3,-2
148,8ad02ca,1,3,2
149,442a914,3,4,1
